pageId,pagePath,pageName,versionId,versionDate,versionComments,versionAuthorUsername,versionApproverUsername
22,/dashboard/users/points/actions,Actions,1,,"Initial Version",Adam_Admin,
23,/dashboard/express,Express,1,,"Initial Version",Adam_Admin,
24,/dashboard/express/entries,"View Entries",1,,"Initial Version",Adam_Admin,
25,/dashboard/reports,Reports,1,,"Initial Version",Adam_Admin,
26,/dashboard/reports/forms,"Form Results",1,,"Initial Version",Adam_Admin,
27,/dashboard/reports/forms/legacy,"Form Results",1,,"Initial Version",Adam_Admin,
28,/dashboard/reports/surveys,Surveys,1,,"Initial Version",Adam_Admin,
29,/dashboard/reports/logs,Logs,1,,"Initial Version",Adam_Admin,
30,/dashboard/reports/page_changes,"Page Changes",1,,"Initial Version",Adam_Admin,
31,/dashboard/pages,"Pages & Themes",1,,"Initial Version",Adam_Admin,
32,/dashboard/pages/themes,Themes,1,,"Initial Version",Adam_Admin,
33,/dashboard/pages/themes/inspect,Inspect,1,,"Initial Version",Adam_Admin,
34,/dashboard/pages/types,"Page Types",1,,"Initial Version",Adam_Admin,
35,/dashboard/pages/types/organize,"Organize Page Type Order",1,,"Initial Version",Adam_Admin,
36,/dashboard/pages/types/add,"Add Page Type",1,,"Initial Version",Adam_Admin,
37,/dashboard/pages/types/form,"Compose Form",1,,"Initial Version",Adam_Admin,
38,/dashboard/pages/types/output,"Defaults and Output",1,,"Initial Version",Adam_Admin,
39,/dashboard/pages/types/attributes,"Page Type Attributes",1,,"Initial Version",Adam_Admin,
40,/dashboard/pages/types/permissions,"Page Type Permissions",1,,"Initial Version",Adam_Admin,
41,/dashboard/pages/templates,"Page Templates",1,,"Initial Version",Adam_Admin,
42,/dashboard/pages/templates/add,"Add Page Template",1,,"Initial Version",Adam_Admin,
43,/dashboard/pages/attributes,Attributes,1,,"Initial Version",Adam_Admin,
44,/dashboard/pages/single,"Single Pages",1,,"Initial Version",Adam_Admin,
45,/dashboard/pages/feeds,"RSS Feeds",1,,"Initial Version",Adam_Admin,
46,/dashboard/calendar,"Calendar & Events",1,,"Initial Version",Adam_Admin,
47,/dashboard/calendar/events,"View Calendar",1,,"Initial Version",Adam_Admin,
48,/dashboard/calendar/event_list,"Event List",1,,"Initial Version",Adam_Admin,
49,/dashboard/calendar/add,"Add Calendar",1,,"Initial Version",Adam_Admin,
50,/dashboard/calendar/permissions,Permissions,1,,"Initial Version",Adam_Admin,
51,/dashboard/calendar/attributes,Attributes,1,,"Initial Version",Adam_Admin,
52,/dashboard/conversations,Conversations,1,,"Initial Version",Adam_Admin,
53,/dashboard/conversations/messages,Messages,1,,"Initial Version",Adam_Admin,
54,/dashboard/blocks,"Stacks & Blocks",1,,"Initial Version",Adam_Admin,
55,/dashboard/blocks/stacks,"Stacks & Global Areas",1,,"Initial Version",Adam_Admin,
56,/dashboard/blocks/permissions,"Block & Stack Permissions",1,,"Initial Version",Adam_Admin,
57,/dashboard/blocks/stacks/list,"Stack List",1,,"Initial Version",Adam_Admin,
58,/dashboard/blocks/types,"Block Types",1,,"Initial Version",Adam_Admin,
59,/dashboard/extend,"Extend concrete5",1,,"Initial Version",Adam_Admin,
60,/dashboard/extend/install,"Add Functionality",1,,"Initial Version",Adam_Admin,
61,/dashboard/extend/update,"Update Add-Ons",1,,"Initial Version",Adam_Admin,
62,/dashboard/extend/connect,"Connect to the Community",1,,"Initial Version",Adam_Admin,
63,/dashboard/extend/themes,"Get More Themes",1,,"Initial Version",Adam_Admin,
64,/dashboard/extend/addons,"Get More Add-Ons",1,,"Initial Version",Adam_Admin,
65,/dashboard/system,"System & Settings",1,,"Initial Version",Adam_Admin,
66,/dashboard/system/basics,Basics,1,,"Initial Version",Adam_Admin,
67,/dashboard/system/basics/name,"Name & Attributes",1,,"Initial Version",Adam_Admin,
68,/dashboard/system/basics/accessibility,Accessibility,1,,"Initial Version",Adam_Admin,
69,/dashboard/system/basics/social,"Social Links",1,,"Initial Version",Adam_Admin,
70,/dashboard/system/basics/icons,"Bookmark Icons",1,,"Initial Version",Adam_Admin,
71,/dashboard/system/basics/editor,"Rich Text Editor",1,,"Initial Version",Adam_Admin,
72,/dashboard/system/basics/multilingual,Languages,1,,"Initial Version",Adam_Admin,
73,/dashboard/system/basics/multilingual/update,"Update Languages",1,,"Initial Version",Adam_Admin,
74,/dashboard/system/basics/timezone,"Time Zone",1,,"Initial Version",Adam_Admin,
75,/dashboard/system/basics/attributes,"Custom Attributes",1,,"Initial Version",Adam_Admin,
76,/dashboard/system/basics/reset_edit_mode,"Reset Edit Mode",1,,"Initial Version",Adam_Admin,
77,/dashboard/system/express,Express,1,,"Initial Version",Adam_Admin,
78,/dashboard/system/express/entities,"Data Objects",1,,"Initial Version",Adam_Admin,
79,/dashboard/system/express/entities/attributes,Attributes,1,,"Initial Version",Adam_Admin,
80,/dashboard/system/express/entities/associations,Associations,1,,"Initial Version",Adam_Admin,
81,/dashboard/system/express/entities/forms,Forms,1,,"Initial Version",Adam_Admin,
82,/dashboard/system/express/entities/customize_search,"Customize Search",1,,"Initial Version",Adam_Admin,
83,/dashboard/system/express/entities/order_entries,"Update Entry Display Order",1,,"Initial Version",Adam_Admin,
84,/dashboard/system/express/entries,"Custom Entry Locations",1,,"Initial Version",Adam_Admin,
85,/dashboard/system/multilingual,Multilingual,1,,"Initial Version",Adam_Admin,
86,/dashboard/system/multilingual/setup,"Multilingual Setup",1,,"Initial Version",Adam_Admin,
87,/dashboard/system/multilingual/copy,"Copy Languages",1,,"Initial Version",Adam_Admin,
88,/dashboard/system/multilingual/page_report,"Page Report",1,,"Initial Version",Adam_Admin,
89,/dashboard/system/multilingual/translate_interface,"Translate Site Interface",1,,"Initial Version",Adam_Admin,
90,/dashboard/system/seo,"SEO & Statistics",1,,"Initial Version",Adam_Admin,
91,/dashboard/system/seo/urls,"URLs and Redirection",1,,"Initial Version",Adam_Admin,
92,/dashboard/system/seo/bulk,"Bulk SEO Updater",1,,"Initial Version",Adam_Admin,
93,/dashboard/system/seo/codes,"Tracking Codes",1,,"Initial Version",Adam_Admin,
94,/dashboard/system/seo/excluded,"Excluded URL Word List",1,,"Initial Version",Adam_Admin,
95,/dashboard/system/seo/searchindex,"Search Index",1,,"Initial Version",Adam_Admin,
96,/dashboard/system/files,Files,1,,"Initial Version",Adam_Admin,
97,/dashboard/system/files/filetypes,"Allowed File Types",1,,"Initial Version",Adam_Admin,
98,/dashboard/system/files/permissions,"File Manager Permissions",1,,"Initial Version",Adam_Admin,
99,/dashboard/system/files/thumbnails,Thumbnails,1,,"Initial Version",Adam_Admin,
100,/dashboard/system/files/thumbnails/options,"Thumbnail Options",1,,"Initial Version",Adam_Admin,
101,/dashboard/system/files/image_uploading,"Image Options",1,,"Initial Version",Adam_Admin,
102,/dashboard/system/files/storage,"File Storage Locations",1,,"Initial Version",Adam_Admin,
103,/dashboard/system/files/export_options,"Export Options",1,,"Initial Version",Adam_Admin,
104,/dashboard/system/optimization,Optimization,1,,"Initial Version",Adam_Admin,
105,/dashboard/system/optimization/cache,"Cache & Speed Settings",1,,"Initial Version",Adam_Admin,
106,/dashboard/system/optimization/clearcache,"Clear Cache",1,,"Initial Version",Adam_Admin,
107,/dashboard/system/optimization/jobs,"Automated Jobs",1,,"Initial Version",Adam_Admin,
108,/dashboard/system/optimization/query_log,"Database Query Log",1,,"Initial Version",Adam_Admin,
109,/dashboard/system/permissions,"Permissions & Access",1,,"Initial Version",Adam_Admin,
110,/dashboard/system/permissions/site,"Site Access",1,,"Initial Version",Adam_Admin,
111,/dashboard/system/permissions/tasks,"Task Permissions",1,,"Initial Version",Adam_Admin,
112,/dashboard/system/permissions/users,"User Permissions",1,,"Initial Version",Adam_Admin,
113,/dashboard/system/permissions/advanced,"Advanced Permissions",1,,"Initial Version",Adam_Admin,
114,/dashboard/system/permissions/workflows,Workflows,1,,"Initial Version",Adam_Admin,
115,/dashboard/system/permissions/blacklist,"IP Blacklist",1,,"Initial Version",Adam_Admin,
116,/dashboard/system/permissions/blacklist/range,"IP Range",1,,"Initial Version",Adam_Admin,
117,/dashboard/system/permissions/captcha,"Captcha Setup",1,,"Initial Version",Adam_Admin,
118,/dashboard/system/permissions/antispam,"Spam Control",1,,"Initial Version",Adam_Admin,
119,/dashboard/system/permissions/maintenance,"Maintenance Mode",1,,"Initial Version",Adam_Admin,
120,/dashboard/system/permissions/trusted_proxies,"Trusted Proxies",1,,"Initial Version",Adam_Admin,
121,/dashboard/system/registration,"Login & Registration",1,,"Initial Version",Adam_Admin,
122,/dashboard/system/registration/open,"Account Options",1,,"Initial Version",Adam_Admin,
123,/dashboard/system/registration/postlogin,"Login Destination",1,,"Initial Version",Adam_Admin,
124,/dashboard/system/registration/profiles,"Public Profiles",1,,"Initial Version",Adam_Admin,
125,/dashboard/system/registration/authentication,"Authentication Types",1,,"Initial Version",Adam_Admin,
126,/dashboard/system/registration/global_password_reset,"Global Password Reset",1,,"Initial Version",Adam_Admin,
127,/dashboard/system/registration/notification,"Notification Settings",1,,"Initial Version",Adam_Admin,
128,/dashboard/system/registration/deactivation,"User Deactivation Settings",1,,"Initial Version",Adam_Admin,
129,/dashboard/system/registration/automated_logout,"Automated Logout",1,,"Initial Version",Adam_Admin,
130,/dashboard/system/registration/password_requirements,"Password Requirements",1,,"Initial Version",Adam_Admin,
131,/dashboard/system/mail,Email,1,,"Initial Version",Adam_Admin,
132,/dashboard/system/mail/method,"SMTP Method",1,,"Initial Version",Adam_Admin,
133,/dashboard/system/mail/method/test,"Test Mail Settings",1,,"Initial Version",Adam_Admin,
134,/dashboard/system/mail/importers,"Email Importers",1,,"Initial Version",Adam_Admin,
135,/dashboard/system/mail/addresses,"System Email Addresses",1,,"Initial Version",Adam_Admin,
136,/dashboard/system/calendar,Calendar,1,,"Initial Version",Adam_Admin,
137,/dashboard/system/calendar/settings,"General Settings",1,,"Initial Version",Adam_Admin,
138,/dashboard/system/calendar/colors,"Color Settings",1,,"Initial Version",Adam_Admin,
139,/dashboard/system/calendar/permissions,Permissions,1,,"Initial Version",Adam_Admin,
140,/dashboard/system/calendar/import,"Import Calendar Data",1,,"Initial Version",Adam_Admin,
141,/dashboard/system/conversations,Conversations,1,,"Initial Version",Adam_Admin,
142,/dashboard/system/conversations/settings,Settings,1,,"Initial Version",Adam_Admin,
143,/dashboard/system/conversations/points,"Community Points",1,,"Initial Version",Adam_Admin,
144,/dashboard/system/conversations/bannedwords,"Banned Words",1,,"Initial Version",Adam_Admin,
145,/dashboard/system/conversations/permissions,"Conversation Permissions",1,,"Initial Version",Adam_Admin,
146,/dashboard/system/attributes,Attributes,1,,"Initial Version",Adam_Admin,
147,/dashboard/system/attributes/types,Types,1,,"Initial Version",Adam_Admin,
148,/dashboard/system/attributes/sets,Sets,1,,"Initial Version",Adam_Admin,
149,/dashboard/system/attributes/topics,Topics,1,,"Initial Version",Adam_Admin,
150,/dashboard/system/attributes/topics/add,"Add Topic Tree",1,,"Initial Version",Adam_Admin,
151,/dashboard/system/environment,Environment,1,,"Initial Version",Adam_Admin,
152,/dashboard/system/environment/info,"Environment Information",1,,"Initial Version",Adam_Admin,
153,/dashboard/system/environment/debug,"Debug Settings",1,,"Initial Version",Adam_Admin,
154,/dashboard/system/environment/logging,"Logging Settings",1,,"Initial Version",Adam_Admin,
155,/dashboard/system/environment/proxy,"Proxy Server",1,,"Initial Version",Adam_Admin,
156,/dashboard/system/environment/entities,"Database Entities",1,,"Initial Version",Adam_Admin,
157,/dashboard/system/environment/database_charset,"Database Character Set",1,,"Initial Version",Adam_Admin,
158,/dashboard/system/environment/geolocation,Geolocation,1,,"Initial Version",Adam_Admin,
159,/dashboard/system/update,"Update concrete5",1,,"Initial Version",Adam_Admin,
160,/dashboard/system/update/update,"Apply Update",1,,"Initial Version",Adam_Admin,
161,/dashboard/system/api,API,1,,"Initial Version",Adam_Admin,
162,/dashboard/system/api/settings,"API Settings",1,,"Initial Version",Adam_Admin,
163,/dashboard/system/api/integrations,"API Integrations",1,,"Initial Version",Adam_Admin,
164,/dashboard/welcome,Welcome,1,,"Initial Version",Adam_Admin,
165,/dashboard/welcome/me,"Waiting for Me",1,,"Initial Version",Adam_Admin,
166,/!stacks,Stacks,1,,"Initial Version",Adam_Admin,
167,/page_not_found,"Page Not Found",1,,"Initial Version",Adam_Admin,
168,/!trash,Trash,1,,"Initial Version",Adam_Admin,
169,/login,Login,1,,"Initial Version",Adam_Admin,
170,/register,Register,1,,"Initial Version",Adam_Admin,
171,/account,"My Account",1,,"Initial Version",Adam_Admin,
172,/account/edit_profile,"Edit Profile",1,,"Initial Version",Adam_Admin,
173,/account/avatar,"Profile Picture",1,,"Initial Version",Adam_Admin,
174,/account/messages,"Private Messages",1,,"Initial Version",Adam_Admin,
175,/page_forbidden,"Page Forbidden",1,,"Initial Version",Adam_Admin,
176,/download_file,"Download File",1,,"Initial Version",Adam_Admin,
177,/!drafts,Drafts,1,,"Initial Version",Adam_Admin,
178,/account/welcome,"Welcome Back",1,,"Initial Version",Adam_Admin,
179,/!stacks/footer-contact,"Footer Contact",1,,"Initial Version",Adam_Admin,
180,/!stacks/footer-legal,"Footer Legal",1,,"Initial Version",Adam_Admin,
181,/!stacks/footer-navigation,"Footer Navigation",1,,"Initial Version",Adam_Admin,
182,/!stacks/footer-site-title,"Footer Site Title",1,,"Initial Version",Adam_Admin,
183,/!stacks/footer-social,"Footer Social",1,,"Initial Version",Adam_Admin,
184,/!stacks/header-navigation,"Header Navigation",1,,"Initial Version",Adam_Admin,
185,/!stacks/header-search,"Header Search",1,,"Initial Version",Adam_Admin,
186,/!stacks/header-site-title,"Header Site Title",1,,"Initial Version",Adam_Admin,
186,/!stacks/header-site-title,"Header Site Title",5,,"New Version 5",Adam_Admin,
186,/!stacks/header-site-title,"Header Site Title",6,,"New Version 6",Adam_Admin,
187,,,1,,"Initial Version",,
188,/services,Services,1,,"Initial Version",Adam_Admin,
189,,,1,,"Initial Version",,
190,/portfolio,Portfolio,1,,"Initial Version",Adam_Admin,
191,/team,Team,1,,"Initial Version",Adam_Admin,
192,,,1,,"Initial Version",,
193,/blog,Blog,1,,"Initial Version",Adam_Admin,
194,/search,Search,1,,"Initial Version",Adam_Admin,
195,/contact,Contact,1,,"Initial Version",Adam_Admin,
196,/blank-page,"Blank Page",1,,"Initial Version",Adam_Admin,
197,,,1,,"Initial Version",,
198,/portfolio/project-title,"Project Title",1,,"Initial Version",Adam_Admin,
198,/portfolio/project-title,"Project Title",2,,"New Version 2",Adam_Admin,
199,/portfolio/project-title-2,"Project Title 2",1,,"Initial Version",Adam_Admin,
200,/portfolio/project-title-3,"Project Title 3",1,,"Initial Version",Adam_Admin,
201,/portfolio/project-title-4,"Project Title 4",1,,"Initial Version",Adam_Admin,
202,/portfolio/project-title-5,"Project Title 5",1,,"Initial Version",Adam_Admin,
203,/portfolio/project-title-6,"Project Title 6",1,,"Initial Version",Adam_Admin,
204,,,1,,"Initial Version",,
205,/blog/hello-world,"Hello World!",1,,"Initial Version",Adam_Admin,
206,/blog/another-blog-post,"Another Blog Post",1,,"Initial Version",Adam_Admin,
207,/blog/a-beautiful-blog,"A Beautiful Site Deserves a Beautiful Blog",1,,"Initial Version",Adam_Admin,
208,/team/about,About,1,,"Initial Version",Adam_Admin,
209,/team/careers,Careers,1,,"Initial Version",Adam_Admin,
210,/team/faq,"Frequently Asked Questions",1,,"Initial Version",Adam_Admin,
211,,,1,,"Initial Version",,
212,/team/careers/web-developer,"Web Developer",1,,"Initial Version",Adam_Admin,
213,/team/careers/sales-associate,"Sales Associate",1,,"Initial Version",Adam_Admin,
214,,,1,,"Initial Version",,
215,,,1,,"Initial Version",,
216,,,1,,"Initial Version",,
218,/!drafts/218,,1,,"Initial Version",Adam_Admin,
220,/!drafts/220,,1,,"Initial Version",Lucy_Loser,
